priorityIndex,batch,term,canonicalTerm,valueTier,recommendedTier,learningPriority,contentCategory,frequency,score,sourceStatus,sourceGlobalIndex,wordList,unit,unitIndex,sourceOccurrences,audioFile,start,end
120,1,license,license,active,active,high,work-money,4.52,4.52,ready,1922,4,5,44,1,ysgpc/Word List4/Word List4-Unit5.mp3,124.06,124.76
121,1,locate,locate,receptive,active,high,work-money,3.94,3.94,ready,1981,5,1,4,1,ysgpc/Word List5/Word List5-Unit1.mp3,16.72,17.32
122,1,logistics,logistics,receptive,active,high,work-money,3.86,3.86,ready,3266,7,4,3,1,ysgpc/Word List7/Word List7-Unit4.mp3,12.45,13.18
123,1,manufacture,manufacture,receptive,active,high,work-money,3.98,3.98,ready,565,2,1,70,1,ysgpc/Word List2/Word List2-Unit1.mp3,191.18,191.99
124,1,municipal,municipal,active,active,high,work-money,4.24,4.24,ready,1585,4,2,2,1,ysgpc/Word List4/Word List4-Unit2.mp3,11.06,11.72
125,1,negotiate,negotiate,receptive,active,high,work-money,3.99,3.99,ready,1069,3,1,81,1,ysgpc/Word List3/Word List3-Unit1.mp3,217.45,218.22
126,1,overtime,overtime,receptive,active,high,work-money,3.94,3.94,ready,1825,4,4,46,1,ysgpc/Word List4/Word List4-Unit4.mp3,126.3,126.92
127,1,personnel,personnel,active,active,high,work-money,4.56,4.56,ready,327,1,4,28,1,ysgpc/Word List1/Word List1-Unit4.mp3,78.99,79.64
128,1,prevent,prevent,active,active,high,work-money,4.79,4.79,ready,2169,5,2,92,1,ysgpc/Word List5/Word List5-Unit2.mp3,246.87,247.4
129,1,progress,progress,active,active,high,work-money,4.78,4.78,ready,3148,7,2,80,1,ysgpc/Word List7/Word List7-Unit2.mp3,217.91,218.52
130,1,protection,protection,active,active,high,work-money,4.85,4.85,ready,102,1,2,1,1,ysgpc/Word List1/Word List1-Unit2.mp3,7.85,8.52
131,1,responsible,responsible,active,active,high,work-money,4.88,4.88,ready,936,2,5,45,1,ysgpc/Word List2/Word List2-Unit5.mp3,124.38,125.08
132,1,volunteer,volunteer,active,active,high,work-money,4.28,4.93,ready,1300,3,4,15,1,ysgpc/Word List3/Word List3-Unit4.mp3,45.61,46.32
133,1,allowance,allowance,receptive,active,high,work-money,3.85,3.85,ready,3319,7,4,56,1,ysgpc/Word List7/Word List7-Unit4.mp3,151.46,152.15
134,1,archive,archive,receptive,active,high,work-money,3.98,3.98,ready,1054,3,1,66,1,ysgpc/Word List3/Word List3-Unit1.mp3,177.64,178.2
135,1,bulletin,bulletin,receptive,active,high,work-money,3.79,3.79,ready,2250,5,3,74,1,ysgpc/Word List5/Word List5-Unit3.mp3,199.98,200.49
136,1,clearance,clearance,receptive,active,high,work-money,3.96,3.96,ready,2393,5,5,20,1,ysgpc/Word List5/Word List5-Unit5.mp3,58.04,58.65
137,1,coupon,coupon,receptive,active,high,work-money,3.86,3.86,ready,493,1,5,97,1,ysgpc/Word List1/Word List1-Unit5.mp3,264.48,264.99
138,1,dispatch,dispatch,receptive,active,high,work-money,3.76,3.76,ready,2649,6,2,76,1,ysgpc/Word List6/Word List6-Unit2.mp3,205.95,206.58
139,1,enforce,enforce,receptive,active,high,work-money,3.96,3.96,ready,2737,6,3,65,1,ysgpc/Word List6/Word List6-Unit3.mp3,176.08,176.75
140,1,exempt,exempt,receptive,active,high,work-money,3.78,3.78,ready,1834,4,4,55,1,ysgpc/Word List4/Word List4-Unit4.mp3,150.11,150.71
141,1,fulfill,fulfill,receptive,active,high,work-money,3.86,3.86,ready,467,1,5,71,1,ysgpc/Word List1/Word List1-Unit5.mp3,194.84,195.42
142,1,incentive,incentive,receptive,active,high,work-money,3.97,3.97,ready,3150,7,2,82,1,ysgpc/Word List7/Word List7-Unit2.mp3,223.26,223.96
